Time,Condition,Age,ChannelPair,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1000,cane,9m,FO,0.461187201734367,0.407994695247177,0.483873304060519,0.49391188794477,0.410433098943585,0.455638255433659,0.507286325256716,0.520648983969162,0.573665666982923,0.531134629239497,0.532825087115724,0.462348216956464,0.540568231827118,0.375298824945516,0.574286692504973,0.456087638280486,0.603012220434605
-990,cane,9m,FO,0.455515386182515,0.408755179599371,0.479277959483133,0.492687442916121,0.406325069525104,0.458233812862277,0.502607124786533,0.519259189197786,0.574191203272669,0.53431749370889,0.525705062554965,0.462235286516537,0.536468013777001,0.373011072310478,0.575110742447541,0.461672401315701,0.607780694303374
-980,cane,9m,FO,0.450572705289345,0.410902289500474,0.472997768791167,0.491294969724523,0.403444476534855,0.462287500137204,0.498693343733769,0.517462346479095,0.574153528800621,0.536025308681015,0.520293835646149,0.460923646560052,0.53213635429143,0.370066850439654,0.575635699216567,0.464973738233411,0.610888364636676
-970,cane,9m,FO,0.446806128061168,0.414398189321914,0.466501158360535,0.489548091476645,0.401781726751232,0.467944509845986,0.495995107865952,0.516667739791736,0.573759166041868,0.536697701997839,0.516562949896972,0.4591941227263,0.526945596917363,0.367612524825923,0.575720478515242,0.467046047815736,0.612021728848195
-960,cane,9m,FO,0.444097478237036,0.419059541518322,0.459905070924769,0.48740572818378,0.402100442371013,0.475002510684892,0.493901039745012,0.517783550670135,0.572814248980057,0.535732646365349,0.514610543595171,0.457800303432577,0.521001856649547,0.366789130573426,0.575206893824061,0.468888241864421,0.610438159137089
-950,cane,9m,FO,0.441690870118863,0.424511922608827,0.453755411009495,0.484598655496493,0.404814535926256,0.484239686608985,0.492092954742862,0.521951629710699,0.571191228531687,0.533385731522929,0.515032313360756,0.457567422859268,0.514227147367025,0.367573001400489,0.574186975339971,0.47016565678189,0.605617115581468
-940,cane,9m,FO,0.439169808811413,0.430695869708173,0.449545695649406,0.481368710933756,0.408828973291089,0.496145699427168,0.490723625782108,0.528693798872827,0.569757564801249,0.528678365932898,0.517590117016902,0.459172500453632,0.50766064499445,0.369422777119501,0.572895759478224,0.470289893243893,0.597884060237075
-930,cane,9m,FO,0.436669131383458,0.437934839844009,0.447871066250778,0.478289217191556,0.416238856429571,0.509094549777263,0.488787317545774,0.537280066133807,0.568535328774145,0.522009495015115,0.521416309277233,0.462833562478434,0.501302439259994,0.373131782238438,0.571230137132898,0.469033376622274,0.588419659715502
-920,cane,9m,FO,0.433275019207849,0.445299809552022,0.447984218374882,0.475475553093619,0.424922136760838,0.523131791111617,0.485662380475322,0.546541105613739,0.56755728895646,0.515648875659651,0.525754670630631,0.467990382175256,0.495585076312365,0.378683753905408,0.569321474330921,0.466562516687306,0.57873997384372
-910,cane,9m,FO,0.429456808491993,0.453144027977071,0.449592568090042,0.473648102888885,0.43403548871688,0.537874407479108,0.481290646969133,0.5555428768789,0.566519329994998,0.509366249848583,0.530159197026239,0.474362018990631,0.490938850757121,0.386019406424738,0.567242900051448,0.463087464621132,0.569616800080957
