Time,Condition,Age,Cluster,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-1500,Grasp,12m,Occipital,21.4527259873783,20.3170230341504,21.1621196314289,16.6088321997421,34.2594281485907,14.2791625868214,13.6660656030089,6.21448965129697,21.6268389946335,16.475322082182,19.1039631331711,27.2206592415226,19.9865517938629,20.1088291974221,26.6049678716018,20.5351588797865,24.384416201168,20.3655642459456,14.0638563681231
-1498,Grasp,12m,Occipital,21.4245707499548,20.3615311590979,21.1480169496884,16.7195660922181,34.2498085692235,14.2301738334709,13.6661829368963,6.21653174721602,21.6555335122392,16.5781737559067,19.1771728451516,27.1637749499359,19.9705315829906,20.0814565843536,26.6080272303873,20.5115001482312,24.487466889044,20.333837718474,14.0256658867881
-1496,Grasp,12m,Occipital,21.396134167936,20.4064665574766,21.1323723483449,16.8370705690281,34.2390265118181,14.1798685221944,13.6687842986658,6.21871919798279,21.6794116719375,16.6837820795558,19.2483523305551,27.1051267869385,19.95112833592,20.0530359060939,26.6057707228105,20.4918714544689,24.5906114034616,20.2984383259323,13.9876332082202
-1494,Grasp,12m,Occipital,21.3677142986399,20.4518578017582,21.1150155558593,16.9614743482433,34.2274993176257,14.1283306244464,13.6732557072121,6.22112172072452,21.6987170636047,16.7915015462656,19.3176490752724,27.0444664394853,19.9281784158009,20.0234766840674,26.5982603176951,20.4758993161907,24.6941081653128,20.2595237211154,13.949867624096
-1492,Grasp,12m,Occipital,21.3410401565065,20.4975464545447,21.0960147987177,17.0933393601689,34.2143990891409,14.0754415242631,13.678974472492,6.22381356279446,21.7136821728662,16.9008753832377,19.3848451120076,26.9815249789554,19.9018491762998,19.9927903487863,26.5856861222118,20.4633854127623,24.7982530572384,20.2173242599873,13.9131943451447
-1490,Grasp,12m,Occipital,21.3153702888066,20.5433977269132,21.0756382378449,17.2337977787144,34.2001217643715,14.0213050960351,13.6855184127584,6.22694095283173,21.7244954125827,17.0117164697429,19.4494361182833,26.9166195386634,19.8722793470732,19.9610491995239,26.5687108141083,20.4542032960069,24.9028519186286,20.1721443968669,13.8775264246554
-1488,Grasp,12m,Occipital,21.2902975897577,20.5892434062802,21.0543505183755,17.3822474302366,34.1841262703384,13.9662976219125,13.6925430047219,6.2305435498705,21.7313456897559,17.1241542081669,19.5110518081866,26.8503721525381,19.8394837417377,19.9282790826166,26.5478431619176,20.4482746884576,25.0073366247188,20.1243785011914,13.8429535287382
-1486,Grasp,12m,Occipital,21.2656967090587,20.6348527759677,21.0334020588723,17.5373479857166,34.1665193187948,13.9107630478996,13.6997052913237,6.23440405747647,21.7344254312266,17.2377626407631,19.5694987245609,26.782243749214,19.8034875278907,19.8943387088781,26.5226508288544,20.4455605376926,25.1119740654167,20.0744584939699,13.8092527258979
-1484,Grasp,12m,Occipital,21.2422151452337,20.6799824163638,21.014395363604,17.6973650520789,34.1469047166398,13.854710707496,13.7067535032302,6.23837711418355,21.7337784650858,17.3522421246705,19.6246946741391,26.7119012637635,19.7644249074136,19.859036045477,26.4932018279312,20.4460521921194,25.2157485389285,20.0228648559497,13.7761246551967
-1482,Grasp,12m,Occipital,21.2191598813827,20.7245381456521,20.996194309684,17.8608173719268,34.1256463486526,13.798830546516,13.7138623215215,6.24266658614093,21.7292250062033,17.4677014658468,19.6766301368632,26.6390539860849,19.7225654650473,19.822260878684,26.4592636752897,20.4497673274059,25.3183380105455,19.9702405500433,13.7436965196327
-1480,Grasp,12m,Occipital,21.1962051184063,20.7686310181349,20.9779973505493,18.0265643755568,34.1033329874986,13.7468653345856,13.7218171649616,6.2474771815641,21.7206151118225,17.5840824365694,19.7253498132461,26.5638008258105,19.6783850976885,19.7840085203812,26.420634414753,20.4567482205606,25.4199613608947,19.9157354637024,13.7110997129813
-1478,Grasp,12m,Occipital,21.1736075952533,20.8117781184076,20.9588648035024,18.1937229522815,34.0806154086415,13.6953335902096,13.7299998802489,6.25236972757614,21.7079808955288,17.7007631377249,19.7709377104237,26.4864461235682,19.6324425820871,19.744645498267,26.3773115593334,20.4670626315919,25.5209915779561,19.8593675568109,13.6779578291778
-1476,Grasp,12m,Occipital,21.1525649916524,20.853529620399,20.9381813116236,18.3616080030516,34.0582199735449,13.6441452923731,13.7372830805728,6.25736971665903,21.6915310732569,17.8180717870178,19.8135237767473,26.4070258059527,19.5849933012691,19.7041984273352,26.3295220209948,20.4808055957469,25.6209925981365,19.8012212628514,13.6440619091764
-1474,Grasp,12m,Occipital,21.1326215674216,20.8937356840975,20.915478892379,18.5296924395004,34.0369261559387,13.593503063916,13.7432433829699,6.26283323054238,21.6716103101804,17.9354737958801,19.8532712187385,26.3255154655018,19.5363298391954,19.6628223300108,26.2778257257499,20.498106384263,25.7192291320647,19.7413703986044,13.6093003903507
-1472,Grasp,12m,Occipital,21.1134544806053,20.9323977629926,20.8903485580623,18.697590883264,34.0186944460698,13.543397384845,13.747745363428,6.26863171753926,21.6486660917966,18.0520216633423,19.8903893900764,26.2421668234355,19.4869259024381,19.6208552291142,26.22306551215,20.5191491795306,25.8152965248863,19.6799216620816,13.5736937639762
-1470,Grasp,12m,Occipital,21.0951243830899,20.969499980086,20.8624280487012,18.8649329549144,34.0016995556174,13.4939564851779,13.7507331625329,6.27427310835705,21.6231746084454,18.1672415141912,19.9251229614354,26.1577251492698,19.4370643965784,19.57856020331,26.1647905866582,20.5442090882189,25.9090302350048,19.6170277659385,13.5374929619348
-1468,Grasp,12m,Occipital,21.0778996898685,21.0048902545117,20.8314583012541,19.031183261742,33.9862965924117,13.4454085447292,13.7520729020859,6.27976178997813,21.5956305890138,18.2807450970232,19.9577632399121,26.0715938372078,19.3870598092231,19.5358918299293,26.1025510540723,20.5737495922149,26.000570803452,19.5528952370465,13.5011849677947
-1466,Grasp,12m,Occipital,21.0621492220344,21.0384560917766,20.7972750597593,19.1956218087437,33.9740795785716,13.3980395664833,13.751504338105,6.28519383966861,21.5665334659202,18.3921974419238,19.9886283802849,25.9844498347214,19.3375206848841,19.4935626512023,26.036252072239,20.6081680622566,26.0901345070126,19.4877377394329,13.4647802155976
-1464,Grasp,12m,Occipital,21.0493219071616,21.0701727983679,20.7597881357353,19.3575108284047,33.9626865720397,13.3522563568065,13.7487752125343,6.29071492014025,21.5363774075659,18.5013180914148,20.0180735622743,25.8952568602274,19.2886292099175,19.450989409466,25.9659536728299,20.6473009816804,26.1773368921192,19.4218133638491,13.4281515401744
-1462,Grasp,12m,Occipital,21.0390390746472,21.1000959074321,20.7188407167459,19.5161885218538,33.9515338570111,13.3088690222813,13.7437004074152,6.29628428876265,21.5056132685932,18.6078664010526,20.0484672078068,25.8040245927846,19.2404365126691,19.4086455351936,25.8917982992931,20.6907461484159,26.2617577813782,19.3553966411873,13.3914346759058
-1460,Grasp,12m,Occipital,21.0313913909535,21.1284364490727,20.6740194801346,19.6710901971404,33.940300147251,13.2691817381688,13.7361531244449,6.30175762859042,21.4746719587953,18.7116312052718,20.0794228097919,25.7108544247255,19.1933785219785,19.3674000817639,25.813503143586,20.738178734174,26.3432271208209,19.2886005621322,13.3548228607409
-1458,Grasp,12m,Occipital,21.0265592746567,21.1555965132907,20.6248457794256,19.8217381766742,33.9289762986156,13.233654579164,13.7260473115958,6.30708975651264,21.4440350450615,18.8124255047834,20.1096403253342,25.6160183122792,19.147757179668,19.3271860179479,25.7311103140719,20.7894043533896,26.4217140016767,19.2215233606188,13.3184407975722
-1456,Grasp,12m,Occipital,21.0251109672309,21.1815919956792,20.570947269564,19.967766138462,33.9177746568084,13.2021570347794,13.7133376730821,6.31230723810185,21.4142794297218,18.910106786839,20.139258419935,25.5201928086572,19.1036174660592,19.2884341528469,25.6448225884097,20.844865304647,26.4972918709971,19.1544556853271,13.2823275287181
-1454,Grasp,12m,Occipital,21.0266806422076,21.2062749402228,20.5120335157705,20.1090128706044,33.9070572240808,13.1746075413637,13.6980108804875,6.3174969637408,21.3860792538673,19.0045802564176,20.1684500468671,25.4234189193279,19.0609124103919,19.2514564796998,25.5549674654756,20.9059444459077,26.5701154726793,19.0874455960985,13.2464184333454
-1452,Grasp,12m,Occipital,21.0305996285414,21.2295481040128,20.4478834281716,20.245660982406,33.8973578530312,13.1511111912912,13.6800875536351,6.32282584326559,21.3601195514645,19.0958163160833,20.1974368266017,25.3263062408392,19.0197718935117,19.2165247759307,25.4628256395684,20.9729675187562,26.6404772000946,19.0204651043763,13.2107431504194
-1450,Grasp,12m,Occipital,21.0376079490935,21.2513539286726,20.3783443849368,20.3773602774591,33.8893393375584,13.1314606023888,13.6596149214068,6.32853740437295,21.3368754666152,19.1838403928262,20.226499494959,25.2281909632044,18.9803497169035,19.1821916257623,25.3676522477657,21.0445620496205,26.7090932536638,18.9542688585244,13.1757211307476
-1448,Grasp,12m,Occipital,21.0465489855922,21.2716762524975,20.3033310978412,20.5033406898939,33.8836438877805,13.1155818445248,13.6366395887529,6.33459356821061,21.3165887465297,19.268727681369,20.2559386996814,25.1290072791216,18.943014665062,19.1480022634779,25.2700843322311,21.1194891299175,26.7761927284743,18.8885394398866,13.1417642213672
-1446,Grasp,12m,Occipital,21.0565170454895,21.290517152247,20.2228383656783,20.6231951345141,33.8807446926997,13.1047449505382,13.6111920915594,6.3407826148722,21.2994669249929,19.3504519976496,20.2860100593153,25.0289256425746,18.9084225034886,19.1138765333947,25.1711234343721,21.1972951255329,26.841143483537,18.8233357587483,13.1085388049335
-1444,Grasp,12m,Occipital,21.0671064795135,21.3078676403152,20.136931058618,20.73671593972,33.8816940269288,13.1012223322229,13.5832852971874,6.34703235616227,21.2857597539907,19.4288781877,20.3168413569129,24.9281693555976,18.8773169727426,19.0801632598642,25.0691712596257,21.277753063347,26.903765629182,18.7589611100147,13.0759263332172
-1442,Grasp,12m,Occipital,21.0780058488618,21.3236779370968,20.0456727960397,20.8438293239125,33.8869192079086,13.1020279537589,13.5529312533637,6.35338718283104,21.2761418928146,19.5048491528767,20.3484286464174,24.8269603543186,18.8501638374781,19.0469669616915,24.9641796878758,21.360754342179,26.9641056026742,18.695288381687,13.0440389457797
-1440,Grasp,12m,Occipital,21.0889697245566,21.3378660018545,19.9490764935272,20.9445742025119,33.8948655072636,13.1072785277645,13.5201903149365,6.35997077506469,21.2711720397816,19.5789118183626,20.3807110396657,24.7254666437757,18.8270757102156,19.0146914932618,24.8568085424625,21.44639075109,27.0224358695458,18.6322654410179,13.0129120435874
-1438,Grasp,12m,Occipital,21.0998953508311,21.3503595906831,19.8472056698393,21.0388118344611,33.9066702802195,13.1188221930345,13.4852565059899,6.3669295185814,21.273342181038,19.6496172783874,20.4136472756122,24.6238319554144,18.8081377305327,18.9832617008006,24.7481933508253,21.5348855864923,27.0791727833615,18.5700221610032,12.9824261069489
-1436,Grasp,12m,Occipital,21.1112644051477,21.3611336280863,19.7404925748057,21.1263194217415,33.9220122367795,13.1357107258264,13.4485422718776,6.3744803645774,21.2829303572359,19.7168382332541,20.4472463418261,24.522344438509,18.7932385741086,18.953136970344,24.6388897834293,21.626070258592,27.134090387435,18.5087775239163,12.9525221719292
-1434,Grasp,12m,Occipital,21.1233247726063,21.3702163933279,19.6289719934224,21.2070115504841,33.9402795771156,13.156884760593,13.4103077533714,6.38340121189369,21.2954431584873,19.7807026496602,20.4815325398127,24.4219043757415,18.7818610647593,18.9237278591823,24.5289031005309,21.7198155496456,27.186616003712,18.4488493435418,12.9232186957978
-1432,Grasp,12m,Occipital,21.1357489397376,21.3776900097152,19.5124173082065,21.2809124893974,33.9629853636135,13.1829528171744,13.3703350781537,6.39345163818372,21.3098364619107,19.8412317680702,20.5164894437177,24.3226756318742,18.7737016551303,18.8948840873455,24.4185866731856,21.8164832417859,27.2364548162527,18.3908264496471,12.8945889284752
-1430,Grasp,12m,Occipital,21.148848835894,21.3837031510256,19.390956581534,21.3481227013689,33.9902258158132,13.2139386509975,13.328551882389,6.40396492633437,21.3256413370334,19.8982088607412,20.5520655220226,24.2249610730491,18.7689657068397,18.8668715914708,24.3082246156238,21.9154283003811,27.2835152711692,18.3346707489598,12.8667654159308
